addrs,alive_time,ip,port,proof_time,speed,style
浙江舟山,1分钟,115.209.179.186,37433,17-11-26 13:46,1.832秒,HTTPS
浙江宁波,27天,115.217.253.77,30580,17-11-26 13:46,2.145秒,HTTPS
浙江宁波,1分钟,115.217.254.132,33222,17-11-26 13:46,0.199秒,HTTPS
浙江丽水,1分钟,115.226.151.41,22042,17-11-26 13:46,2.174秒,HTTPS
广西防城港,634天,110.73.1.23,8123,17-11-26 13:33,4.967秒,HTTP
河南开封,19小时,123.163.137.56,808,17-11-26 13:18,0.119秒,HTTP
江苏常州,1分钟,121.231.144.19,6666,17-11-26 13:16,0.132秒,HTTP
广西梧州,328天,121.31.79.116,8123,17-11-26 13:15,5.141秒,HTTP
广西防城港,583天,110.73.8.229,8123,17-11-26 13:15,3.229秒,HTTP
安徽,1分钟,223.241.119.101,8010,17-11-26 13:15,4.57秒,HTTP
广西南宁,1分钟,115.46.76.45,8123,17-11-26 13:15,1.934秒,HTTP
广西防城港,327天,110.73.7.140,8123,17-11-26 13:11,6.031秒,HTTP
广西防城港,648天,110.73.4.128,8123,17-11-26 13:11,6.114秒,HTTP
云南临沧,17小时,112.114.93.56,8118,17-11-26 13:09,0.418秒,HTTPS
安徽,6天,223.241.119.13,8010,17-11-26 13:00,2.216秒,HTTPS
江苏常州,1分钟,121.231.150.223,6666,17-11-26 13:00,0.149秒,HTTPS
广东佛山,1分钟,119.127.17.162,808,17-11-26 13:00,3.658秒,HTTP
广东佛山,1分钟,119.127.17.162,808,17-11-26 13:00,3.264秒,HTTPS
广东深圳,4小时,116.30.233.134,8118,17-11-26 12:51,0.255秒,HTTP
河南平顶山,1分钟,123.161.239.5,35770,17-11-26 12:45,2.863秒,HTTPS
江苏常州,2小时,180.115.12.2,41693,17-11-26 12:45,0.894秒,HTTPS
江苏苏州,1分钟,49.64.22.147,31494,17-11-26 12:45,2.598秒,HTTPS
四川,1分钟,118.120.184.162,26656,17-11-26 12:44,0.589秒,HTTPS
广东佛山市顺德区,3分钟,59.38.241.83,46728,17-11-26 12:33,0.75秒,HTTP
浙江舟山,11分钟,183.152.169.57,42715,17-11-26 12:22,0.537秒,HTTPS
广西防城港,6天,110.73.32.95,8123,17-11-26 12:00,6.049秒,HTTPS
江苏南通,6分钟,114.232.0.226,30976,17-11-26 11:50,0.627秒,HTTPS
安徽芜湖,3小时,223.241.78.17,8010,17-11-26 11:50,1.882秒,HTTPS
